"TABLE_CATALOG","TABLE_SCHEMA","TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","COLUMN_DEFAULT","IS_NULLABLE","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","CHARACTER_OCTET_LENGTH","NUMERIC_PRECISION","NUMERIC_SCALE","DATETIME_PRECISION","CHARACTER_SET_NAME","COLLATION_NAME","COLUMN_TYPE","COLUMN_KEY","EXTRA","PRIVILEGES","COLUMN_COMMENT","GENERATION_EXPRESSION"
"def","escoapi","crm_deals","id","1",NULL,"NO","bigint",NULL,NULL,"19","0",NULL,NULL,NULL,"bigint(20)","PRI",,"select,insert,update,references",,
"def","escoapi","crm_deals","owner_id","2",NULL,"YES","bigint",NULL,NULL,"19","0",NULL,NULL,NULL,"bigint(20)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","owner_name","3",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","currency_symbol","4",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","followers","5",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Last_Activity_Time","6",NULL,"YES","timestamp",NULL,NULL,NULL,NULL,"0",NULL,NULL,"timestamp",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Industry","7",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","state","8",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","process_flow","9","0","NO","tinyint",NULL,NULL,"3","0",NULL,NULL,NULL,"tinyint(1)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Deal_Name","10",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Exchange_Rate","11","0.00","NO","decimal",NULL,NULL,"20","2",NULL,NULL,NULL,"decimal(20,2)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Currency","12",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Stage","13",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Solutions_Services","14",NULL,"YES","text","65535","65535",NULL,NULL,NULL,"utf8","utf8_general_ci","text",,,"select,insert,update,references",,
"def","escoapi","crm_deals","approved","15","0","NO","tinyint",NULL,NULL,"3","0",NULL,NULL,NULL,"tinyint(1)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Hostile_Mitigation","16",NULL,"YES","text","65535","65535",NULL,NULL,NULL,"utf8","utf8_general_ci","text",,,"select,insert,update,references",,
"def","escoapi","crm_deals","approval_delegate","17","0","NO","tinyint",NULL,NULL,"3","0",NULL,NULL,NULL,"tinyint(1)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","approval_approve","18","0","NO","tinyint",NULL,NULL,"3","0",NULL,NULL,NULL,"tinyint(1)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","approval_reject","19","0","NO","tinyint",NULL,NULL,"3","0",NULL,NULL,NULL,"tinyint(1)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","approval_resubmit","20","0","NO","tinyint",NULL,NULL,"3","0",NULL,NULL,NULL,"tinyint(1)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Territory","21",NULL,"YES","text","65535","65535",NULL,NULL,NULL,"utf8","utf8_general_ci","text",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Maintenance1","22",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Created_Time","23",NULL,"YES","timestamp",NULL,NULL,NULL,NULL,"0",NULL,NULL,"timestamp",,,"select,insert,update,references",,
"def","escoapi","crm_deals","followed","24","0","NO","tinyint",NULL,NULL,"3","0",NULL,NULL,NULL,"tinyint(1)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Change_Log_Time","25",NULL,"YES","timestamp",NULL,NULL,NULL,NULL,"0",NULL,NULL,"timestamp",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Duration_of_License_if_have","26",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","editable","27","0","NO","tinyint",NULL,NULL,"3","0",NULL,NULL,NULL,"tinyint(1)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Site_Location","28",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","ELMO1","29",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","company_id","30",NULL,"YES","bigint",NULL,NULL,"19","0",NULL,NULL,NULL,"bigint(20)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","company_name","31",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","created_id","32",NULL,"YES","bigint",NULL,NULL,"19","0",NULL,NULL,NULL,"bigint(20)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","created_name","33",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Website_Form_Name","34",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Gross_Profit_Amount","35","0.00","NO","decimal",NULL,NULL,"20","2",NULL,NULL,NULL,"decimal(20,2)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","category","36",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Description","37",NULL,"YES","text","65535","65535",NULL,NULL,NULL,"utf8","utf8_general_ci","text",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Campaign_Source","38",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","review_process_approve","39","0","NO","tinyint",NULL,NULL,"3","0",NULL,NULL,NULL,"tinyint(1)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","review_process_reject","40","0","NO","tinyint",NULL,NULL,"3","0",NULL,NULL,NULL,"tinyint(1)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","review_process_resubmit","41","0","NO","tinyint",NULL,NULL,"3","0",NULL,NULL,NULL,"tinyint(1)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Closing_Date","42",NULL,"YES","timestamp",NULL,NULL,NULL,NULL,"0",NULL,NULL,"timestamp",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Record_Image","43",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","modified_by_id","44",NULL,"YES","bigint",NULL,NULL,"19","0",NULL,NULL,NULL,"bigint(20)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","modified_by_name","45",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","review","46",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Insightly_Reference_Number","47",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Lead_Conversion_Time","48","0.00","NO","decimal",NULL,NULL,"20","2",NULL,NULL,NULL,"decimal(20,2)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Expected_Revenue","49","0.00","NO","decimal",NULL,NULL,"20","2",NULL,NULL,NULL,"decimal(20,2)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Overall_Sales_Duration","50","0.00","NO","decimal",NULL,NULL,"20","2",NULL,NULL,NULL,"decimal(20,2)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","account_id","51",NULL,"YES","bigint",NULL,NULL,"19","0",NULL,NULL,NULL,"bigint(20)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","account_name","52",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Expected_Completion_Date","53",NULL,"YES","timestamp",NULL,NULL,NULL,NULL,"0",NULL,NULL,"timestamp",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Modified_Time","54",NULL,"YES","timestamp",NULL,NULL,NULL,NULL,"0",NULL,NULL,"timestamp",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Amount","55","0.00","NO","decimal",NULL,NULL,"20","2",NULL,NULL,NULL,"decimal(20,2)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Probability","56","0.00","NO","decimal",NULL,NULL,"20","2",NULL,NULL,NULL,"decimal(20,2)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Next_Step","57",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","GP","58",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","orchestration","59",NULL,"YES","tinyint",NULL,NULL,"3","0",NULL,NULL,NULL,"tinyint(1)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","contact_id","60",NULL,"YES","bigint",NULL,NULL,"19","0",NULL,NULL,NULL,"bigint(20)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","contact_name","61",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Sales_Cycle_Duration","62","0.00","NO","decimal",NULL,NULL,"20","2",NULL,NULL,NULL,"decimal(20,2)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Services","63",NULL,"YES","text","65535","65535",NULL,NULL,NULL,"utf8","utf8_general_ci","text",,,"select,insert,update,references",,
"def","escoapi","crm_deals","s","64",NULL,"YES","timestamp",NULL,NULL,NULL,NULL,"0",NULL,NULL,"timestamp",,,"select,insert,update,references",,
"def","escoapi","crm_deals","in_merge","65","0","NO","tinyint",NULL,NULL,"3","0",NULL,NULL,NULL,"tinyint(1)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Lead_Source","66",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","Tag","67",NULL,"YES","text","65535","65535",NULL,NULL,NULL,"utf8","utf8_general_ci","text",,,"select,insert,update,references",,
"def","escoapi","crm_deals","approval_state","68",NULL,"YES","varchar","255","765",NULL,NULL,NULL,"utf8","utf8_general_ci","varchar(255)",,,"select,insert,update,references",,
"def","escoapi","crm_deals","created_at","69","CURRENT_TIMESTAMP","NO","timestamp",NULL,NULL,NULL,NULL,"0",NULL,NULL,"timestamp",,,"select,insert,update,references",,
"def","escoapi","crm_deals","updated_at","70",NULL,"YES","timestamp",NULL,NULL,NULL,NULL,"0",NULL,NULL,"timestamp",,,"select,insert,update,references",,
